,makanan,air,kalori,protein,lemak,karbohidrat,serat,Mentah/Olahan,Kategori,vegan/nonvegan
376,Brongkos,76.4,141,15.3,3.3,12.6,1.0,Olahan,Daging,non_vegan
377,"Bulgogi, masakan",84.2,72,11.4,4.9,1.4,1.7,Olahan,Daging,non_vegan
378,"Chicken teriyaki, masakan",68.2,168,13.0,9.6,7.5,0.8,Olahan,Daging,non_vegan
379,"Chikiniku, masakan",65.4,143,9.8,1.4,22.8,0.4,Olahan,Daging,non_vegan
380,"Coto mangkasara, kuda, masakan",83.5,96,6.8,5.9,3.8,0.0,Olahan,Daging,non_vegan
381,"Coto mangkasara, sapi, masakan",85.9,84,6.0,6.0,1.4,0.0,Olahan,Daging,non_vegan
382,"Djibokum, masakan",43.4,248,10.0,2.3,40.9,0.1,Olahan,Daging,non_vegan
383,"Empal (daging) Goreng, masakan",43.9,248,36.2,6.9,10.1,0.0,Olahan,Daging,non_vegan
384,Gulai kambing,78.4,126,4.2,9.4,6.2,0.0,Olahan,Daging,non_vegan
385,"Jangang bintatoeng, masakan",73.6,107,5.3,2.2,16.5,0.0,Olahan,Daging,non_vegan
386,"Kalio ayam, masakan",64.7,203,16.0,13.5,4.4,0.0,Olahan,Daging,non_vegan
387,"Kalio jeroan, masakan",68.9,163,16.5,9.0,4.1,0.0,Olahan,Daging,non_vegan
388,"Kalio kikil (tunjang), masakan",75.3,122,13.8,5.7,3.9,0.0,Olahan,Daging,non_vegan
389,"Kalio otak, masakan",70.3,157,8.1,8.8,11.4,0.0,Olahan,Daging,non_vegan
390,"Lawar babi, masakan",68.8,174,17.0,10.0,3.0,0.0,Olahan,Daging,non_vegan
391,"Lawar penyu, masakan",66.3,141,23.0,1.5,7.6,0.0,Olahan,Daging,non_vegan
392,"Lawara jangang, masakan",72.4,159,5.0,10.9,10.1,0.0,Olahan,Daging,non_vegan
393,"Naan maran sapi, masakan",14.8,478,38.3,33.9,5.1,0.0,Olahan,Daging,non_vegan
394,"Nasu likku, masakan",59.0,196,14.5,8.3,15.9,0.0,Olahan,Daging,non_vegan
395,"Oramu ninahu ndawa olaho, masakan",74.9,117,13.7,5.0,4.3,0.0,Olahan,Daging,non_vegan
396,"Paniki masak santan, masakan",25.4,460,28.5,35.2,7.2,0.0,Olahan,Daging,non_vegan
397,"Pelolah manuk, masakan",60.0,219,19.7,13.6,4.4,0.0,Olahan,Daging,non_vegan
398,"Rawon, masakan",86.0,60,5.4,2.5,4.0,0.3,Olahan,Daging,non_vegan
399,"Rendang sapi, masakan",57.9,193,22.6,7.9,7.8,0.0,Olahan,Daging,non_vegan
400,"RW, anjing, masakan",60.8,198,24.6,10.7,0.9,0.0,Olahan,Daging,non_vegan
401,"Sate, penyu, masakan",57.4,179,22.5,3.5,13.3,0.0,Olahan,Daging,non_vegan
402,"Sate pusut, masakan",52.1,274,12.9,18.6,13.6,0.0,Olahan,Daging,non_vegan
403,"Penyu, serapah, masakan",71.3,174,13.1,12.2,2.2,0.0,Olahan,Daging,non_vegan
404,"Sie reuboh, masakan",32.4,474,11.2,42.5,11.7,0.0,Olahan,Daging,non_vegan
405,"Sop buntut, masakan",86.1,71,7.5,3.6,2.2,0.0,Olahan,Daging,non_vegan
406,"Sop daging sapi, masakan",87.5,49,5.8,0.5,5.3,0.0,Olahan,Daging,non_vegan
407,"Sop kaki sapi, masakan",84.5,68,9.0,1.9,3.7,0.0,Olahan,Daging,non_vegan
408,"Sop kambing, masakan",91.6,34,5.5,0.8,1.1,0.0,Olahan,Daging,non_vegan
409,"Sop konro, masakan",85.0,71,7.4,2.6,4.5,0.0,Olahan,Daging,non_vegan
410,"Sop saudara, masakan",82.4,89,7.2,5.0,3.9,0.0,Olahan,Daging,non_vegan
411,"Soto bandung, masakan",89.9,42,3.9,1.7,2.8,0.4,Olahan,Daging,non_vegan
412,"Soto banjar, masakan",83.7,110,2.9,9.5,3.2,0.0,Olahan,Daging,non_vegan
413,"Soto betawi, masakan",75.9,135,2.5,8.8,11.5,0.5,Olahan,Daging,non_vegan
414,"Soto jeroan, masakan",81.4,92,11.8,4.3,1.4,0.0,Olahan,Daging,non_vegan
415,"Soto kudus, masakan",91.6,38,2.6,2.3,1.8,0.2,Olahan,Daging,non_vegan
416,"Soto madura, masakan",89.8,60,3.5,4.5,1.3,0.0,Olahan,Daging,non_vegan
417,"Soto padang, masakan",75.0,127,5.9,6.6,11.0,0.7,Olahan,Daging,non_vegan
418,"Soto pekalongan, masakan",83.8,94,3.0,6.8,5.1,0.3,Olahan,Daging,non_vegan
419,"Soto pemalang, masakan",86.0,75,3.6,5.2,3.5,0.0,Olahan,Daging,non_vegan
420,"Soto sukaraja, masakan",75.9,80,3.2,3.5,9.0,0.3,Olahan,Daging,non_vegan
421,"Soto sulung, masakan",88.1,86,2.3,8.5,0.0,0.0,Olahan,Daging,non_vegan
422,"Sukiyaki, masakan",81.0,75,5.6,0.4,12.2,0.2,Olahan,Daging,non_vegan
423,"Tedong pallu basa, masakan",81.7,83,10.4,3.4,2.8,0.0,Olahan,Daging,non_vegan
424,"Tikus rica, masakan",54.9,257,18.8,18.5,3.8,0.0,Olahan,Daging,non_vegan
425,"Tinoransa, masakan",31.6,516,17.7,49.5,0.0,0.0,Olahan,Daging,non_vegan
426,"Belut, goreng",11.2,417,25.9,19.4,32.0,0.0,Olahan,Ikan dsb,non_vegan
427,"Cumi-cumi, goreng",54.2,265,40.6,10.1,0.0,0.0,Olahan,Ikan dsb,non_vegan
428,"Ikan asin, kering",40.0,193,42.0,1.5,0.0,0.0,Olahan,Ikan dsb,non_vegan
429,"Ikan bandeng presto, masakan",45.3,296,17.1,20.3,11.3,0.0,Olahan,Ikan dsb,non_vegan
430,Ikan baung bakar,69.8,144,17.8,5.8,5.2,0.0,Olahan,Ikan dsb,non_vegan
431,Ikan Belida bakar,68.2,128,18.0,3.0,7.2,0.0,Olahan,Ikan dsb,non_vegan
432,"Ikan Gabus, kering",24.0,268,58.0,4.0,0.0,0.0,Olahan,Ikan dsb,non_vegan
433,"Ikan gete, goreng",44.7,267,23.1,19.4,0.2,0.0,Olahan,Ikan dsb,non_vegan
434,"Ikan hiu, kering",23.1,298,46.3,3.6,20.2,0.0,Olahan,Ikan dsb,non_vegan
435,"Ikan katombo, asin",44.7,162,31.7,2.8,0.3,0.0,Olahan,Ikan dsb,non_vegan
436,"Ikan kayu, kering",23.1,302,70.7,1.9,0.4,0.0,Olahan,Ikan dsb,non_vegan
437,Ikan Lais bakar,69.4,147,17.5,6.5,5.4,0.0,Olahan,Ikan dsb,non_vegan
438,Ikan Mas pepes,57.5,209,15.2,11.3,11.8,0.5,Olahan,Ikan dsb,non_vegan
439,Ikan mujahir goreng,44.7,416,46.9,23.9,0.0,0.0,Olahan,Ikan dsb,non_vegan
440,Ikan Mujahir pepes,73.7,121,21.7,2.8,0.8,0.0,Olahan,Ikan dsb,non_vegan
441,"Ikan Papuyu, bakar",66.6,152,17.6,6.1,6.7,0.0,Olahan,Ikan dsb,non_vegan
442,"Ikan Patin, bakar",70.3,144,17.5,6.3,4.3,0.0,Olahan,Ikan dsb,non_vegan
443,"Ikan sanggang, masakan",42.6,240,21.7,7.7,20.7,0.0,Olahan,Ikan dsb,non_vegan
444,Rusip,58.5,110,11.5,2.0,11.7,0.0,Olahan,Ikan dsb,non_vegan
445,Sardines dalam kaleng,47.1,338,21.1,27.0,1.0,0.0,Olahan,Ikan dsb,non_vegan
446,Abon haruwan,11.6,513,23.7,37.0,21.3,0.0,Olahan,Ikan dsb,non_vegan
447,Abon ikan,6.4,435,27.2,20.2,36.1,0.0,Olahan,Ikan dsb,non_vegan
448,"Betok wadi, masakan",69.2,145,16.3,7.0,4.1,0.0,Olahan,Ikan dsb,non_vegan
449,"Bou ninahu ndamate, masakan",79.5,79,6.3,1.0,1.1,0.0,Olahan,Ikan dsb,non_vegan
450,"Bouiki ninahu nggaluku, masakan",73.9,94,7.8,2.2,10.8,0.0,Olahan,Ikan dsb,non_vegan
451,Cakalang asar (asap papua),64.3,155,20.1,3.8,10.2,0.0,Olahan,Ikan dsb,non_vegan
452,"Dendeng belut, goreng",8.2,382,55.7,14.1,8.0,0.0,Olahan,Ikan dsb,non_vegan
453,"Dendeng mujahir, goreng",6.5,598,74.3,26.9,9.2,0.0,Olahan,Ikan dsb,non_vegan
454,Fillet o-fish,51.0,270,12.3,15.9,19.3,0.2,Olahan,Ikan dsb,non_vegan
455,"Gete kuah asam, masakan",80.1,75,8.2,2.0,6.0,0.0,Olahan,Ikan dsb,non_vegan
456,"Gulai asam keueung, masakan",86.0,52,10.0,0.5,1.8,0.0,Olahan,Ikan dsb,non_vegan
457,"Gulai ikan paya, masakan",72.1,148,10.0,9.8,5.0,0.0,Olahan,Ikan dsb,non_vegan
458,"Gulai ikan, masakan",75.7,106,16.5,3.3,2.5,0.0,Olahan,Ikan dsb,non_vegan
459,"Gulai keumamah, masakan",81.4,110,5.9,8.2,3.2,0.0,Olahan,Ikan dsb,non_vegan
460,"Gulai tiram, masakan",73.1,132,9.0,7.2,7.8,0.0,Olahan,Ikan dsb,non_vegan
461,"Gurame asem manis, masakan",63.1,192,12.7,10.1,12.7,0.0,Olahan,Ikan dsb,non_vegan
462,"Ikan asar merah, masakan",69.2,146,17.7,5.9,5.6,0.0,Olahan,Ikan dsb,non_vegan
463,Jambal goreng,13.4,286,48.5,9.2,2.3,0.0,Olahan,Ikan dsb,non_vegan
464,"Jukku pallu kaloa, masakan",69.4,15,15.2,4.3,8.8,0.0,Olahan,Ikan dsb,non_vegan
465,"Kaholeo, masakan",11.2,413,28.7,19.8,29.8,0.0,Olahan,Ikan dsb,non_vegan
466,"Lawara penjah, masakan",64.5,207,7.4,15.4,9.6,0.0,Olahan,Ikan dsb,non_vegan
467,"Model, masakan",83.9,79,2.2,4.0,8.6,0.0,Olahan,Ikan dsb,non_vegan
468,"Mujahir acar kuning, masakan",43.1,330,17.8,23.4,12.1,1.1,Olahan,Ikan dsb,non_vegan
469,"Parede baleh, masakan",80.0,87,10.5,2.5,5.5,0.0,Olahan,Ikan dsb,non_vegan
470,Pempek adaan,62.6,162,4.9,3.0,27.8,0.0,Olahan,Ikan dsb,non_vegan
471,Pempek belida,61.4,156,4.2,1.4,31.6,0.2,Olahan,Ikan dsb,non_vegan
472,Pempek kapal selam,63.4,152,4.5,2.3,28.2,0.0,Olahan,Ikan dsb,non_vegan
473,Pempek kelesan,53.0,211,12.3,6.1,26.6,0.4,Olahan,Ikan dsb,non_vegan
474,Pempek kulit,45.7,243,5.2,7.3,39.1,0.0,Olahan,Ikan dsb,non_vegan
475,Pempek telur,62.4,156,4.7,2.7,28.3,0.0,Olahan,Ikan dsb,non_vegan
476,Pempek tenggiri,56.3,173,7.2,1.2,33.4,0.2,Olahan,Ikan dsb,non_vegan
477,"Pencok lele, masakan",47.5,372,7.8,36.3,3.5,0.0,Olahan,Ikan dsb,non_vegan
478,"Pinda, masakan",71.0,107,15.9,0.6,0.4,0.0,Olahan,Ikan dsb,non_vegan
479,"Pindang kenari, masakan",80.1,124,9.5,9.6,0.0,0.0,Olahan,Ikan dsb,non_vegan
480,"Saboko gurita, masakan",76.2,87,15.7,1.5,2.6,0.0,Olahan,Ikan dsb,non_vegan
481,"Saboko saltan, masakan",76.0,113,17.1,3.6,3.0,0.0,Olahan,Ikan dsb,non_vegan
482,"Saboko sardin, masakan",70.0,110,12.9,4.3,4.9,0.0,Olahan,Ikan dsb,non_vegan
483,Sate Bandeng,47.1,283,12.1,16.8,20.9,2.0,Olahan,Ikan dsb,non_vegan
484,"Sepi, masakan",66.1,88,7.9,1.6,10.6,0.0,Olahan,Ikan dsb,non_vegan
485,Tekwan,86.7,53,1.9,0.9,9.4,0.0,Olahan,Ikan dsb,non_vegan
486,"Teri balado, masakan",25.8,365,23.7,22.3,17.5,0.0,Olahan,Ikan dsb,non_vegan
487,Tumis bandeng,70.5,189,11.3,15.7,0.6,0.0,Olahan,Ikan dsb,non_vegan
488,Tumis keumamah,45.7,300,14.5,20.0,15.5,4.5,Olahan,Ikan dsb,non_vegan
489,"Telur ayam, dadar, masakan",61.9,251,16.3,19.4,1.4,0.0,Olahan,Telur,non_vegan
490,"Telur bebek, dadar, masakan",55.1,301,20.0,23.7,0.0,0.0,Olahan,Telur,non_vegan
491,"Bayau mi balu, masakan",36.1,313,6.0,12.2,44.8,0.0,Olahan,Telur,non_vegan
492,"Cucuru bayau, masakan",35.0,349,6.8,18.7,38.3,0.0,Olahan,Telur,non_vegan
493,"Kalio telur, masakan",79.0,193,10.6,12.4,9.7,0.0,Olahan,Telur,non_vegan
494,Es krim,62.1,210,4.0,12.5,20.6,0.0,Olahan,Susu,non_vegan
495,Hangop,84.0,65,10.0,1.0,3.5,0.0,Olahan,Susu,non_vegan
496,Keju,38.5,326,22.8,20.3,13.1,0.0,Olahan,Susu,non_vegan
497,Kwark (Quark),59.0,242,19.0,17.0,3.0,0.0,Olahan,Susu,non_vegan
498,"Susu asam untuk bayi, bubuk",2.5,418,19.0,9.0,65.5,0.0,Olahan,Susu,non_vegan
499,Susu bubuk,3.5,513,24.6,30.0,36.2,0.0,Olahan,Susu,non_vegan
500,Susu kental manis,25.0,343,8.2,10.0,55.0,0.0,Olahan,Susu,non_vegan
501,Susu kental tak manis,73.7,138,7.0,7.9,9.9,0.0,Olahan,Susu,non_vegan
502,"Susu skim, bubuk",3.5,359,35.6,1.0,52.0,0.0,Olahan,Susu,non_vegan
503,"Susu skim, segar",90.5,36,3.5,0.1,5.1,0.0,Olahan,Susu,non_vegan
504,"Yoghurt, segar",88.0,52,3.3,2.5,4.0,0.0,Olahan,Susu,non_vegan
505,Margarin,15.5,720,0.6,81.0,0.4,0.0,Olahan,Lemak,non_vegan
506,Mentega,16.0,742,0.5,81.6,1.4,0.0,Olahan,Lemak,non_vegan
507,Santan (dengan air),80.0,122,2.0,10.0,7.6,1.4,Olahan,Lemak,non_vegan
508,Santan murni,54.9,324,4.2,34.3,5.6,0.0,Olahan,Lemak,non_vegan
509,"Coklat manis, batang",1.4,527,2.0,29.8,62.7,6.5,Olahan,Gula,vegan
510,"Coklat pahit,batang",2.3,615,5.5,42.6,29.2,10.8,Olahan,Gula,vegan
511,"Coklat susu, batang",1.0,565,9.0,35.0,53.6,3.4,Olahan,Gula,vegan
512,Coklat bubuk,3.9,311,8.0,4.0,48.9,32.6,Olahan,Gula,vegan
513,Gula aren,7.0,368,0.0,0.0,92.0,0.0,Olahan,Gula,vegan
514,Gula kelapa,10.0,386,3.0,10.0,76.0,0.0,Olahan,Gula,vegan
515,Gula putih,5.4,394,0.0,0.0,94.0,0.0,Olahan,Gula,vegan
516,"Jam, selai",34.0,239,0.5,0.6,64.5,1.0,Olahan,Gula,vegan
517,Kopi bubuk instant,2.6,129,12.3,0.5,35.0,0.0,Olahan,Gula,vegan
518,Madu,20.0,294,0.3,0.0,79.5,0.2,Olahan,Gula,vegan
519,Markisa squash,46.7,217,2.5,1.0,49.6,0.0,Olahan,Gula,vegan
520,"Markisa squash, BD",74.4,104,1.2,0.5,23.7,0.0,Olahan,Gula,vegan
521,Melase,21.2,276,0.0,0.1,71.0,0.0,Olahan,Gula,vegan
522,Sirup,44.0,213,0.0,0.0,55.0,0.0,Olahan,Gula,vegan
523,Sirup pirous,43.3,228,0.2,0.4,55.9,0.0,Olahan,Gula,vegan
524,Teh hijau daun kering,7.7,300,28.3,4.8,53.6,9.6,Olahan,Gula,vegan
525,Teh hitam daun kering,8.0,293,24.5,2.8,58.8,8.7,Olahan,Gula,vegan
526,Teh melati daun kering,8.1,299,24.1,3.5,59.0,9.7,Olahan,Gula,vegan
527,Balichong,59.9,152,13.2,0.8,22.9,1.5,Olahan,Bumbu,vegan
528,Bekasam,65.5,116,11.9,4.9,6.1,3.5,Olahan,Bumbu,vegan
529,Bekasang,67.1,78,11.4,2.0,3.6,0.4,Olahan,Bumbu,vegan
530,Cuka,94.5,21,0.1,0.1,5.0,0.0,Olahan,Bumbu,vegan
531,Kecap,63.0,71,5.7,1.3,9.0,0.0,Olahan,Bumbu,vegan
532,Petis ikan,56.0,165,20.0,0.2,20.8,0.0,Olahan,Bumbu,vegan
533,Petis udang kering,8.3,345,23.8,1.4,59.3,0.0,Olahan,Bumbu,vegan
534,Petis udang pasta,39.0,220,15.0,0.9,38.0,2.3,Olahan,Bumbu,vegan
535,Saos tomat,69.5,110,2.0,0.4,24.5,0.9,Olahan,Bumbu,vegan
536,Tempoya,70.1,110,1.7,1.3,21.9,2.6,Olahan,Bumbu,vegan
537,Terasi,33.8,155,22.3,2.9,9.9,2.7,Olahan,Bumbu,vegan
538,Terasi dobo,58.4,191,33.1,3.6,6.6,1.6,Olahan,Bumbu,vegan
539,Terasi merah,40.0,174,30.0,3.5,5.6,2.2,Olahan,Bumbu,vegan
